2017-10-22 18:23:11 CDT LOG:  database system was interrupted; last known up at 2017-10-22 18:20:03 CDT
2017-10-22 18:23:12 CDT LOG:  database system was not properly shut down; automatic recovery in progress
2017-10-22 18:23:12 CDT LOG:  redo starts at 0/1907188
2017-10-22 18:23:12 CDT LOG:  invalid record length at 0/1908BA0: wanted 24, got 0
2017-10-22 18:23:12 CDT LOG:  redo done at 0/1908B78
2017-10-22 18:23:12 CDT LOG:  last completed transaction was at log time 2017-10-22 18:20:43.724799-05
2017-10-22 18:23:12 CDT LOG:  MultiXact member wraparound protections are now enabled
2017-10-22 18:23:12 CDT LOG:  database system is ready to accept connections
2017-10-22 18:23:12 CDT LOG:  autovacuum launcher started
2017-10-22 18:23:26 CDT ERROR:  duplicate key value violates unique constraint "USERS_pkey"
2017-10-22 18:23:26 CDT DETAIL:  Key (email)=(owner1@ex.com) already exists.
2017-10-22 18:23:26 CDT STATEMENT:  insert into "USERS" ("firstName", "lastName", "role", "phone", "address1", "address2", "city", "state", "postalCode", "email", "password", "status", "updated_at", "created_at") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14) returning "id"
2017-10-22 18:24:54 CDT ERROR:  null value in column "businessID" violates not-null constraint
2017-10-22 18:24:54 CDT DETAIL:  Failing row contains (null, 7, 123 blvd                                                        ..., null, columbia                                                        ..., MO, 65201, trops@ex.com                                                    ..., 123414342 , actv      ).
2017-10-22 18:24:54 CDT STATEMENT:  insert into "LOCATION" ("address1", "address2", "city", "state", "postalCode", "email", "phone", "businessID", "locationStatus") values ($1, $2, $3, $4, $5, $6, $7, $8, $9)
2017-10-22 18:25:21 CDT LOG:  received fast shutdown request
2017-10-22 18:25:21 CDT LOG:  aborting any active transactions
2017-10-22 18:25:21 CDT FATAL:  terminating connection due to administrator command
2017-10-22 18:25:21 CDT FATAL:  terminating connection due to administrator command
2017-10-22 18:25:21 CDT FATAL:  terminating connection due to administrator command
2017-10-22 18:25:21 CDT LOG:  autovacuum launcher shutting down
2017-10-22 18:25:21 CDT LOG:  shutting down
2017-10-22 18:25:22 CDT LOG:  database system is shut down
